,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,11656,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19747784.0,19747784.0,False,,1,,,,2024-08-31T23:35:00.000Z,58962.07817403405,12397116475.622665,-61.6446,-0.14024958,-0.37045433,-7.86904411,-9.30519201,-4.93100233,-13.08586857,1164370383971.939,56.2401,1238203641654.72,,2024-08-31T23:35:00.000Z,,,,,,2024-08-31 23:36:32.296725
1,1027,Ethereum,ETH,ethereum,9254,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120303365.0220988,120303365.0220988,True,,2,,,,2024-08-31T23:34:00.000Z,2513.1779259848463,6684957792.73172,-57.007,-0.21411859,-0.60162581,-8.96755685,-21.42145258,-26.50805531,-33.52387506,302343761395.23615,14.6035,302343761395.24,,2024-08-31T23:34:00.000Z,,,,,,2024-08-31 23:36:32.296725
2,825,Tether USDt,USDT,tether,96092,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,118228802316.48785,120251893183.6721,True,,3,,,,2024-08-31T23:34:00.000Z,0.9998864953768821,24629732232.135216,-53.9634,-0.00765134,0.00614445,-0.06328286,0.07947557,0.14076127,0.03821022,118215382800.83925,5.709,120238244037.86,,2024-08-31T23:34:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-08-31 23:36:32.296725
3,1839,BNB,BNB,bnb,2222,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,145934970.87345693,145934970.87345693,False,,4,,,,2024-08-31T23:34:00.000Z,532.3494075564045,1282924887.3741364,-19.7704,-0.30654865,-0.66827112,-8.24314776,-7.26417081,-8.11303911,-11.69842435,77688395286.24594,3.7518,77688395286.25,,2024-08-31T23:34:00.000Z,,,,,,2024-08-31 23:36:32.296725
4,5426,Solana,SOL,solana,724,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,466455627.84301144,583512487.3489728,True,,5,,,,2024-08-31T23:34:00.000Z,135.10214697820666,901293309.76338,-66.2349,-0.5197714,-2.30898135,-15.37884899,-19.09787152,-12.33645775,-17.32165053,63019156791.658195,3.0439,78833789829.44,,2024-08-31T23:34:00.000Z,,,,,,2024-08-31 23:36:32.296725
5,3408,USDC,USDC,usd-coin,21816,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,34724369290.30196,34724369290.30196,False,,6,,,,2024-08-31T23:34:00.000Z,0.9999798837658687,1997215436.5874383,-66.9107,-0.00580146,0.00536767,-0.00156042,0.01406017,0.00348074,-0.0037093,34723670766.759254,1.6769,34723670766.76,,2024-08-31T23:34:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-08-31 23:36:32.296725
6,52,XRP,XRP,xrp,1374,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,56251561168.0,99987294444.0,False,,7,,,,2024-08-31T23:35:00.000Z,0.5661357017888431,465634619.62488467,-57.8675,-0.26073214,-0.13801476,-7.56364804,-4.97441088,16.87735785,10.26861752,31846017058.563713,1.5379,56613570178.88,,2024-08-31T23:35:00.000Z,,,,,,2024-08-31 23:36:32.296725
7,74,Dogecoin,DOGE,dogecoin,1050,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,145767716383.7053,145767716383.7053,True,,8,,,,2024-08-31T23:35:00.000Z,0.10130201554759245,327933010.68142086,-39.8025,-0.13536545,-0.07664768,-9.80492381,-14.63794973,-18.91151213,-35.49360355,14766563471.439161,0.7132,14766563471.44,,2024-08-31T23:35:00.000Z,,,,,,2024-08-31 23:36:32.296725
8,11419,Toncoin,TON,toncoin,540,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2534900882.283681,5111240299.02814,True,,9,3414166606.0,18467910069.73859,,2024-08-31T23:34:00.000Z,5.409200018910439,197076416.77263522,-26.4173,-0.2011733,0.62293887,-5.93739178,-19.76698836,-32.90972225,-20.81657641,13711785900.384975,0.6623,27647721122.16,,2024-08-31T23:34:00.000Z,,,,,,2024-08-31 23:36:32.296725
9,1958,TRON,TRX,tron,1021,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,86776145792.98622,86776147782.164,True,,10,71659659264.0,11312813793.734045,,2024-08-31T23:34:00.000Z,0.15786865176202863,326082977.64214194,-25.5329,0.14905715,-1.36253914,-0.65082943,23.16897987,22.34805761,37.34264646,13699233141.443968,0.6618,13699233455.47,,2024-08-31T23:34:00.000Z,,,,,,2024-08-31 23:36:32.296725
