Book_Title,Author,User_Ratings,Customers_Rated,Price,Date
Fuzzy Hygge: Cute and Cozy Coloring Book for Adults & Teens Featuring Adorable Animals Characters for Stress Relief,Vivi Tinta,4.6,846,$10.66,2024-11-25
"Little Corner: Coloring Book for Adults and Teens, Super Cute Designs of Cozy, Hygge Spaces for Relaxation",Coco Wyo,4.7,"1,723",$10.90,2024-11-25
Cozy Friends: Coloring Book for Adults and Teens Featuring Super Cute Animal Characters with Easy and Simple Designs for Relaxation,Coco Wyo,4.7,"1,274",$10.39,2024-11-25
The Try Not to Laugh Challenge - Would Your Rather? - EWW Edition,Crazy Corey,4.4,"17,698",$6.99,2024-11-25
Dav Pilkey,Dav Pilkey,Unknown rating,Hardcover,$17.51,2024-11-25
Bluey: Awesome Advent Calendar Book Bundle,Penguin Young Readers Licenses,4.6,93,$24.18,2024-11-25
Girl Moments: Coloring Book for Adults and Teens Featuring Cute Cozy Daily Activities for Relaxation,Coco Wyo,4.7,93,$11.05,2024-11-25
We Who Wrestle with God: Perceptions of the Divine,Jordan B. Peterson,4.6,91,$33.60,2024-11-25
Fuzzy Hygge: Christmas Vibes Coloring Book for Adults & Teens Featuring Cozy Festive Holiday Winter Scenes with Adorable Animals Characters,Vivi Tinta,4.6,73,$10.99,2024-11-25
"How To Draw Everything: 300 Drawings of Cute Stuff, Animals, Food, Gifts, and other Amazing Things | Book For Kids",Emma Greene,4.7,"1,818",$15.99,2024-11-25
An Anthology of Aquatic Life,Sam Hume,4.8,703,$11.89,2024-11-25
The Boyfriend,Freida McFadden,4.3,"88,379",$15.34,2024-11-25
Elisabeth Vincentelli,Elisabeth Vincentelli,Unknown rating,Hardcover,$48.00,2024-11-25
"Stress Relief: Coloring Book for Adults and Kids, Bold and Easy, Simple and Big Designs for Relaxation Featuring Animals, Landscape, Flowers, Patterns, Cute Things And Many More",Coco Wyo,4.7,"1,037",$10.78,2024-11-25
"Matty Matheson: Soups, Salads, Sandwiches: A Cookbook",Matty Matheson,4.8,40,$33.60,2024-11-25
Cher: The Memoir: Part One of a Two-Part Memoir from the Iconic Artist and Actor,Cher,4.6,90,$33.75,2024-11-25
Mel Robbins,Mel Robbins,Unknown rating,Hardcover,$39.99,2024-11-25
Hot Mess (Diary of a Wimpy Kid Book 19),Jeff Kinney,4.7,"1,183",$15.98,2024-11-25
"Interesting Facts For Curious Minds: 1572 Random But Mind-Blowing Facts About History, Science, Pop Culture And Everything In Between",Jordan Moore,4.5,"11,399",$5.27,2024-11-25
"Dad, I Want to Hear Your Story: A Father’s Guided Journal To Share His Life & His Love",Jeffrey Mason,4.6,"7,018",$15.95,2024-11-25
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love,M Prefontaine,4.5,"30,971",$2.31,2024-11-25
Guinness World Records 2025,Guinness World Records,4.6,204,$15.83,2024-11-25
The Grey Wolf: A Novel,Louise Penny,4.5,"11,240",$20.00,2024-11-25
How To Draw Everything: 600 Simple Step By Step Drawings For Kids Ages 4 to 8,Bryce Ross,4.6,"1,380",$18.69,2024-11-25
Lots of Knock-Knock Jokes for Kids,Unknown Author,4.5,Whee Winn,$2.70,2024-11-25
The Serviceberry: Abundance and Reciprocity in the Natural World,Robin Wall Kimmerer,4.2,29,$17.50,2024-11-25
"Mom, I Want to Hear Your Story: A Mother’s Guided Journal To Share Her Life & Her Love",Jeffrey Mason,4.6,"12,694",$15.99,2024-11-25
The Wild Robot (Volume 1),Peter Brown,4.8,"12,004",$10.79,2024-11-25
A Court of Thorns and Roses Paperback Box Set (5 books),Sarah J. Maas,4.8,"37,481",$69.99,2024-11-25
LEGO® Gear Bots,Unknown Author,4.5,Editors of Klutz,$24.51,2024-11-25
The Complete Cookbook for Young Chefs: 100+ Recipes that You'll Love to Cook and Eat,America's Test Kitchen Kids,4.7,"23,011",$17.09,2024-11-25
